y4_hhid,labour_total,labore,labour_wage,labour_total_pola,labour_wage_pola,hourly_wage,hourly_wage_new
2488-001,0,0,0,0,0,,
2489-001,41,131.2,81000,41,81000,617.37805,617.37805
2501-001,0,0,0,0,0,,
2502-001,0,0,0,0,0,,
2503-001,0,0,0,0,0,,
2504-001,54,172.8,110000,54,110000,636.57404,636.57404
2505-001,0,0,0,0,0,,
2507-001,11,35.200001,31000,11,31000,880.68182,880.68182
2508-001,0,0,0,0,0,,
2520-001,0,0,0,0,0,,
2521-001,0,0,0,0,0,,
2522-001,6,19.200001,10000,6,10000,520.83331,520.83331
2523-001,0,0,0,0,0,,
2524-001,0,0,0,0,0,,
2526-001,0,0,0,0,0,,
2527-001,0,0,0,0,0,,
2558-001,0,0,0,0,0,,
2559-001,0,0,0,0,0,,
2560-001,6,19.200001,60000,6,60000,3124.9998,3124.9998
2564-001,0,0,0,0,0,,
2566-001,45,144,170000,45,170000,1180.5555,1180.5555
2577-001,0,0,0,0,0,,
2578-001,0,0,0,0,0,,
2579-001,14,44.799999,15000,14,15000,334.82144,334.82144
2580-001,0,0,0,0,0,,
2581-001,0,0,0,0,0,,
2582-001,8,25.6,35000,8,35000,1367.1875,1367.1875
2583-001,0,0,0,0,0,,
2584-001,35,112,10500,35,10500,93.75,93.75
2596-001,0,0,0,0,0,,
2597-001,8,25.6,55000,8,55000,2148.4375,2148.4375
2598-001,31,99.199997,67000,31,67000,675.40326,675.40326
2599-001,0,0,0,0,0,,
2600-001,0,0,0,0,0,,
2601-001,0,0,0,0,0,,
2602-001,0,0,0,0,0,,
2603-001,0,0,0,0,0,,
2615-001,0,0,0,0,0,,
2616-001,0,0,0,0,0,,
2618-001,2,6.4000001,0,2,13322.826,2081.6917,359
2619-001,15,48,65000,15,65000,1354.1666,1354.1666
2620-001,8,25.6,40000,8,40000,1562.5,1562.5
2621-001,0,0,0,0,0,,
2622-001,0,0,0,0,0,,
2634-001,0,0,0,0,0,,
2635-001,0,0,0,0,0,,
2636-001,0,0,0,0,0,,
2637-001,0,0,0,0,0,,
2638-001,2,6.4000001,0,2,13322.826,2081.6917,359
2639-001,0,0,0,0,0,,
2640-001,0,0,0,0,0,,
2641-001,0,0,0,0,0,,
2653-001,0,0,0,0,0,,
2654-001,8,25.6,40000,8,40000,1562.5,1562.5
2656-001,24,76.800003,135000,24,135000,1757.8124,1757.8124
2657-001,0,0,0,0,0,,
2658-001,0,0,0,0,0,,
2659-001,0,0,0,0,0,,
2672-001,0,0,0,0,0,,
2673-001,0,0,0,0,0,,
2674-001,20,64,20000,20,20000,312.5,312.5
2675-001,7,22.4,14000,7,14000,625,625
2676-001,0,0,0,0,0,,
2677-001,0,0,0,0,0,,
2678-001,0,0,0,0,0,,
2679-001,0,0,0,0,0,,
2691-001,11,35.200001,50000,11,50000,1420.4545,1420.4545
2692-001,0,0,0,0,0,,
2693-001,2,6.4000001,5000,2,5000,781.25,781.25
2694-001,14,44.799999,47000,14,47000,1049.1072,1049.1072
2695-001,0,0,0,0,0,,
2696-001,1,3.2,5000,1,5000,1562.5,1562.5
2710-001,0,0,0,0,0,,
2711-001,147,470.39999,1130000,147,1130000,2402.2109,2402.2109
2713-001,0,0,0,0,0,,
2714-001,318,1017.6,1446000,318,1446000,1420.9906,1420.9906
2715-001,0,0,0,0,0,,
2716-001,0,0,0,0,0,,
2717-001,32,102.4,320000,32,320000,3125,3125
2735-001,81,259.20001,1035000,81,1035000,3993.0554,3993.0554
2736-001,14,44.799999,100000,14,100000,2232.1428,2232.1428
2748-001,2,6.4000001,50000,2,50000,7812.5,7812.5
2750-001,86,275.20001,250000,86,250000,908.43018,908.43018
2752-001,76,243.2,240000,76,240000,986.8421,986.8421
2754-001,16,51.200001,30000,16,30000,585.9375,585.9375
2755-001,21,67.199997,70000,21,70000,1041.6667,1041.6667
2767-001,0,0,0,0,0,,
2770-001,31,99.199997,85000,31,85000,856.85486,856.85486
2786-001,0,0,0,0,0,,
2787-001,0,0,0,0,0,,
2790-001,0,0,0,0,0,,
2791-001,4,12.8,12000,4,12000,937.5,937.5
2792-001,0,0,0,0,0,,
2793-001,0,0,0,0,0,,
2805-001,0,0,0,0,0,,
2806-001,0,0,0,0,0,,
2807-001,0,0,0,0,0,,
2808-001,0,0,0,0,0,,
2810-001,0,0,0,0,0,,
2811-001,44,140.8,325000,44,325000,2308.2385,2308.2385
2812-001,10,32,0,10,39114.035,1222.3136,359
2829-001,6,19.200001,18000,6,18000,937.49994,937.49994
2834-001,0,0,0,0,0,,
2843-001,0,0,0,0,0,,
2844-001,52,166.39999,1240000,52,1240000,7451.9233,7451.9233
