y4_hhid,male_hours,male_days,female_hours,female_days,children_hours,children_days,kids_hours,kids_days,teenagers_hours,teenagers_days
1781-001,278.0,74.0,207.0,55.0,,,,,,
1782-001,332.0,72.0,634.0,138.0,,,,,,
1783-001,265.0,53.0,265.0,53.0,,,,,,
1784-001,391.0,68.0,391.0,68.0,,,,,,
1785-001,,,276.0,92.0,,,,,,
1786-001,334.0,80.0,334.0,80.0,,,,,,
1798-001,546.0,125.0,546.0,125.0,,,,,,
1799-001,470.0,70.0,445.0,65.0,235.0,35.0,,,235.0,35.0
1800-001,204.0,34.0,102.0,17.0,102.0,17.0,,,102.0,17.0
1801-001,714.0,150.0,357.0,75.0,714.0,150.0,357.0,75.0,357.0,75.0
1802-001,651.0,184.0,651.0,184.0,605.0,170.0,,,605.0,170.0
1803-001,496.0,66.0,496.0,66.0,,,,,,
1804-001,,,159.0,29.0,95.0,17.0,95.0,17.0,,
1805-001,,,132.0,22.0,258.0,43.0,258.0,43.0,,
1817-001,,,,,,,,,,
1818-001,,,,,,,,,,
1819-001,276.0,43.0,490.0,75.0,,,,,,
1820-001,,,,,,,,,,
1821-001,,,,,,,,,,
1822-001,,,,,,,,,,
1823-001,,,,,,,,,,
1824-001,,,,,,,,,,
1836-001,192.0,32.0,192.0,32.0,,,,,,
1837-001,1525.0,289.0,776.0,149.0,1552.0,298.0,776.0,149.0,776.0,149.0
1838-001,,,390.0,65.0,,,,,,
1839-001,48.0,8.0,48.0,8.0,,,,,,
1840-001,45.0,7.0,52.0,8.0,,,,,,
1841-001,1584.0,243.0,528.0,81.0,528.0,81.0,,,528.0,81.0
1842-001,215.0,45.0,215.0,45.0,,,,,,
1843-001,3048.0,566.0,1530.0,284.0,1505.0,279.0,,,1505.0,279.0
1855-001,456.0,57.0,,,0.0,0.0,,,0.0,0.0
1856-001,427.0,61.0,427.0,61.0,308.0,44.0,308.0,44.0,,
1857-001,1247.0,163.0,101.0,14.0,0.0,0.0,0.0,0.0,,
1858-001,528.0,88.0,1056.0,176.0,,,,,,
1859-001,381.0,48.0,381.0,48.0,,,,,,
1860-001,466.0,107.0,466.0,107.0,,,,,,
1861-001,200.0,42.0,12.0,4.0,,,,,,
1862-001,696.0,128.0,696.0,128.0,,,,,,
1874-001,450.0,75.0,486.0,81.0,786.0,131.0,300.0,50.0,486.0,81.0
1875-001,1614.0,362.0,862.0,198.0,1506.0,322.0,,,1506.0,322.0
1876-001,327.0,113.0,111.0,39.0,,,,,,
1877-001,244.0,127.0,140.0,73.0,134.0,72.0,134.0,72.0,,
1878-001,,,,,,,,,,
1879-001,666.0,123.0,666.0,123.0,666.0,123.0,666.0,123.0,,
1880-001,180.0,30.0,180.0,30.0,,,,,,
1881-001,70.0,30.0,70.0,30.0,,,,,,
1893-001,,,965.0,305.0,,,,,,
1894-001,,,,,,,,,,
1896-001,324.0,54.0,168.0,28.0,84.0,14.0,,,84.0,14.0
1897-001,,,,,,,,,,
1898-001,,,9.0,9.0,,,,,,
1899-001,0.0,0.0,190.0,58.0,,,,,,
1900-001,,,,,,,,,,
1902-001,450.0,58.0,450.0,58.0,,,,,,
1912-001,,,,,,,,,,
1913-001,18.0,9.0,14.0,7.0,,,,,,
1914-001,,,,,,,,,,
1915-001,,,,,,,,,,
1916-001,,,,,,,,,,
1917-001,,,,,,,,,,
1918-001,,,,,,,,,,
1922-001,,,,,,,,,,
1931-001,,,467.0,123.0,,,,,,
1932-001,0.0,0.0,143.0,28.0,365.0,73.0,128.0,26.0,237.0,47.0
1933-001,282.0,47.0,282.0,47.0,,,,,,
1934-001,,,549.0,99.0,953.0,173.0,404.0,74.0,549.0,99.0
1935-001,476.0,86.0,460.0,86.0,182.0,35.0,182.0,35.0,,
1936-001,1214.0,214.0,2215.0,391.0,,,,,,
1937-001,100.0,20.0,345.0,69.0,515.0,103.0,515.0,103.0,,
1938-001,,,46.0,23.0,,,,,,
1950-001,133.0,35.0,165.0,44.0,,,,,,
1951-001,,,,,,,,,,
1952-001,,,514.0,132.0,,,,,,
1953-001,,,,,,,,,,
1954-001,216.0,36.0,108.0,18.0,60.0,10.0,30.0,5.0,30.0,5.0
1955-001,92.0,15.0,92.0,15.0,,,,,,
1956-001,706.0,124.0,724.0,132.0,,,,,,
1957-001,,,,,,,,,,
1969-001,,,330.0,80.0,,,,,,
1970-001,,,158.0,27.0,,,,,,
1971-001,235.0,47.0,,,25.0,5.0,25.0,5.0,,
1972-001,,,724.0,94.0,96.0,16.0,96.0,16.0,,
1973-001,67.0,17.0,67.0,17.0,39.0,12.0,39.0,12.0,,
1974-001,680.0,100.0,,,680.0,100.0,680.0,100.0,,
1975-001,141.0,29.0,141.0,29.0,,,,,,
1976-001,,,394.0,142.0,,,,,,
1988-001,916.0,212.0,916.0,212.0,,,,,,
1989-001,307.0,49.0,579.0,91.0,,,,,,
1990-001,73.0,14.0,73.0,14.0,,,,,,
1991-001,228.0,33.0,228.0,33.0,112.0,16.0,,,112.0,16.0
1992-001,60.0,9.0,,,,,,,,
1993-001,,,75.0,25.0,,,,,,
1994-001,,,358.0,48.0,,,,,,
1995-001,,,116.0,29.0,,,,,,
2007-001,112.0,28.0,112.0,28.0,,,,,,
2008-001,737.0,146.0,1117.0,210.0,,,,,,
2009-001,,,285.0,42.0,134.0,21.0,39.0,7.0,95.0,14.0
2010-001,130.0,31.0,130.0,31.0,,,,,,
2011-001,273.0,39.0,,,,,,,,
2012-001,,,242.0,43.0,,,,,,
2013-001,,,166.0,22.0,92.0,14.0,46.0,7.0,46.0,7.0
2014-001,198.0,35.0,198.0,35.0,,,,,,
